,Magnetic_Field,Moment_fitting
358,54.547,2.7432347179004366
359,52.1429,2.6370259569150014
360,50.1847,2.5496293896252866
361,49.0047,2.4965740309954487
362,45.582,2.3409878962194037
363,44.3917,2.286279784384742
364,42.7845,2.2119096628626855
365,39.7474,2.0697765811548945
366,38.0952,1.9915622893879252
367,36.5801,1.9192753836670817
368,33.7238,1.7815095570702253
369,32.534,1.7235401032601285
370,30.5047,1.6238652364177157
371,28.2556,1.5121948629032835
372,26.0896,1.4034404499205337
373,25.0077,1.3486685563672394
374,21.8841,1.1888319803033867
375,20.2195,1.1026110362390706
376,18.7387,1.0252968084465242
377,16.3987,0.9019415567545114
378,14.1608,0.7826168867224057
379,11.9486,0.6633756871250692
380,10.2492,0.570927272347682
381,8.6197,0.4815969789441627
382,5.8693,0.3294103557476776
383,4.58643,0.257869449201592
384,1.75844,0.09914874791746889
385,0.88257,0.049785844099917716
386,-2.02446,-0.11412697034867526
387,-4.1976,-0.23612309982255647
388,-5.48791,-0.3081761512683745
389,-7.27332,-0.4073121456330354
390,-9.6496,-0.5381294236738208
391,-12.2781,-0.6812165155309431
392,-13.3521,-0.7391739527099026
393,-16.4509,-0.9047091085276109
394,-17.589,-0.9648701970397506
395,-19.8336,-1.0825185156630692
396,-21.7054,-1.1796107706656835
397,-23.5985,-1.2768733131872996
398,-25.7115,-1.3843331379368404
399,-27.6191,-1.4803603041508369
400,-30.0476,-1.601272414496893
401,-31.7458,-1.6849463023243878
402,-33.7612,-1.783326163583783
403,-35.4449,-1.864756778977797
404,-37.8622,-1.9804808530990792
405,-39.3979,-2.0532844161958717
406,-41.38,-2.1464424026073536
407,-43.3903,-2.2400098779164845
408,-46.0128,-2.3607111238819756
409,-47.3493,-2.421641498732619
410,-49.9479,-2.5390060632193947
411,-52.0377,-2.632351153911692
412,-53.4845,-2.6964419771568187
413,-55.3195,-2.7771113701048535
414,-57.6557,-2.8788303351542606
415,-60.2712,-2.991427813979534
416,-61.4062,-3.0398755120939107
417,-63.9081,-3.1458000841472944
418,-65.5889,-3.2162994990473424
419,-67.7739,-3.3071662609810817
420,-69.4975,-3.3782319545410595
421,-74.3489,-3.5754274983743795
422,-83.6261,-3.9413750461880097
423,-93.786,-4.326409343744243
424,-103.931,-4.6956836978021
425,-113.668,-5.036861776495345
426,-123.533,-5.370209612259603
427,-134.099,-5.714424954446433
428,-143.522,-6.010940426742742
429,-152.778,-6.29318407724078
430,-163.852,-6.619828042521311
431,-174.021,-6.909819505201136
432,-184.061,-7.187332958355182
433,-194.881,-7.477174641030236
434,-218.252,-8.07304955617425
435,-243.772,-8.681188101913785
436,-268.515,-9.233226454414703
437,-293.15,-9.750096141030726
438,-318.323,-10.247951766241666
439,-342.012,-10.69117773528367
440,-368.18,-11.154958091728092
441,-393.02,-11.572352051044565
442,-418.921,-11.985952411290869
443,-442.902,-12.350825277863677
444,-468.422,-12.72155006169213
445,-492.837,-13.060545365368185
446,-519.021,-13.408336846630508
447,-543.27,-13.71690630889793
448,-568.503,-14.02515201403072
449,-592.949,-14.312111475471047
450,-618.418,-14.59965340201976
451,-642.633,-14.862897156206051
452,-668.065,-15.12938059709457
453,-693.85,-15.389738633517107
454,-718.728,-15.632113621409248
455,-743.642,-15.866648184720505
456,-768.505,-16.09297914289568
457,-822.432,-16.559297620131492
458,-923.049,-17.349859653238806
459,-1023.6,-18.052381088445124
460,-1123.65,-18.67921939516381
461,-1220.41,-19.22763288883313
462,-1321.16,-19.747095057854636
463,-1423.45,-20.22815582645881
464,-1523.32,-20.65877382954315
465,-1623.42,-21.056533761657178
466,-1724.03,-21.426245243545846
467,-1823.39,-21.76513785413018
468,-1924.16,-22.085125268906683
469,-2062.85,-22.491014792051715
470,-2434.93,-23.418933136817515
471,-2838.42,-24.22472832116748
472,-3236.34,-24.87238184268231
473,-3627.45,-25.403384844170436
474,-4045.46,-25.88269770901756
475,-4446.4,-26.275585011729458
476,-4849.54,-26.618184459121707
477,-5251.78,-26.91751740876953
478,-5654.62,-27.182299734547144
479,-6056.16,-27.417190189047158
480,-6459.27,-27.628439401086446
481,-6860.34,-27.817846598831224
482,-7262.08,-27.989748999742023
483,-7656.68,-28.14356969268311
484,-8055.37,-28.2858023026243
485,-8469.34,-28.421203362534303
486,-8871.38,-28.54215855870482
487,-9273.11,-28.653839972934865
488,-9674.56,-28.75728371071257
489,-10078.1,-28.85391716479254
490,-10478.4,-28.943239936932173
491,-10882.4,-29.02744302577052
492,-11283.1,-29.105622917671
493,-11684.9,-29.179176989443995
494,-12066.9,-29.245009354574563
495,-12488.5,-29.3134346755269
496,-12890.5,-29.374894272529808
497,-13292.1,-29.43291270102832
498,-13693.5,-29.48779711937045
499,-14094.2,-29.53973113913949
500,-14495.9,-29.589149560181365
501,-14895.0,-29.635819413959172
502,-15294.7,-29.680308269664067
503,-15694.2,-29.722682082534618
504,-16093.6,-29.76309762614556
505,-16484.2,-29.800864876143358
506,-16876.6,-29.837169524182606
507,-17286.5,-29.873453700188712
508,-17682.4,-29.90700833684271
509,-18078.0,-29.939165364205046
510,-18470.8,-29.969818815136946
511,-18862.2,-29.999172247944134
512,-19245.2,-30.026810343627226
